2026-08-28T21:14:12.936430+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.5ms) | 1.1.1.1 (10.9ms) | 9.9.9.9 (10.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +11.1ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:16.240505+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.5ms) | 1.1.1.1 (7.9ms) | 9.9.9.9 (25.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +16.9ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:19.295075+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.9ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (9.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +16.9ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:22.356659+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.7ms) | 1.1.1.1 (9.4ms) | 9.9.9.9 (11.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +16.9ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:25.417510+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.3ms) | 1.1.1.1 (8.5ms) | 9.9.9.9 (11.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +16.9ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:27.673933+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.8ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (59.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:30.919867+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.6ms) | 1.1.1.1 (8.2ms) | 9.9.9.9 (24.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:33.974725+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.1ms) | 1.1.1.1 (9.5ms) | 9.9.9.9 (9.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:37.045444+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (22.2ms) | 1.1.1.1 (22.0ms) | 9.9.9.9 (21.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:40.153768+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (64.6ms) | 1.1.1.1 (61.8ms) | 9.9.9.9 (59.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:43.209269+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.3ms) | 1.1.1.1 (7.8ms) | 9.9.9.9 (9.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:46.329021+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.2ms) | 1.1.1.1 (9.2ms) | 9.9.9.9 (9.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:49.390351+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.1ms) | 1.1.1.1 (9.4ms) | 9.9.9.9 (13.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:52.445911+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.4ms) | 1.1.1.1 (9.6ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:55.501881+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.9ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (8.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.5ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:58.546322+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.8ms) | 1.1.1.1 (9.1ms) | 9.9.9.9 (9.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.4ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:01.598842+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.3ms) | 1.1.1.1 (12.3ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:03.658148+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.2ms) | 1.1.1.1 (6.9ms) | 9.9.9.9 (14.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:06.747785+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (60.8ms) | 1.1.1.1 (60.6ms) | 9.9.9.9 (62.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:09.801528+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.9ms) | 1.1.1.1 (12.5ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +25.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:15:11.861246+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.4ms) | 1.1.1.1 (8.6ms) | 9.9.9.9 (10.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.2ms | +25.2ms | +0.3ms | +0.0% | WARN
