2026-08-28T18:07:23.121103+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.6ms) | 1.1.1.1 (18.7ms) | 9.9.9.9 (17.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:26.171512+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.0ms) | 1.1.1.1 (13.2ms) | 9.9.9.9 (11.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:29.230925+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.6ms) | 1.1.1.1 (7.4ms) | 9.9.9.9 (10.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:32.291417+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.5ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (9.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:35.340185+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.8ms) | 1.1.1.1 (10.3ms) | 9.9.9.9 (10.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:38.389180+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.7ms) | 1.1.1.1 (10.5ms) | 9.9.9.9 (12.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:41.455276+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.9ms) | 1.1.1.1 (10.6ms) | 9.9.9.9 (13.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:44.507053+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.8ms) | 1.1.1.1 (10.5ms) | 9.9.9.9 (11.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:47.571846+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.0ms) | 1.1.1.1 (17.8ms) | 9.9.9.9 (14.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:50.634330+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.4ms) | 1.1.1.1 (8.2ms) | 9.9.9.9 (17.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +10.1ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:53.766343+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.8ms) | 1.1.1.1 (10.2ms) | 9.9.9.9 (9.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +10.1ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:55.874994+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.6ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (61.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +12.4ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:58.931079+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.0ms) | 1.1.1.1 (9.5ms) | 9.9.9.9 (9.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +12.4ms | +0.8ms | +0.0% | OK
2026-08-28T18:08:01.976898+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.2ms) | 1.1.1.1 (10.3ms) | 9.9.9.9 (8.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +12.4ms | +0.8ms | +0.0% | OK
2026-08-28T18:08:05.042631+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.3ms) | 1.1.1.1 (10.8ms) | 9.9.9.9 (13.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +12.4ms | +0.8ms | +0.0% | OK
2026-08-28T18:08:08.086525+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.8ms) | 1.1.1.1 (9.6ms) | 9.9.9.9 (9.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +12.4ms | +0.8ms | +0.0% | OK
2026-08-28T18:08:11.134012+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (14.4ms) | 1.1.1.1 (12.6ms) | 9.9.9.9 (12.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +12.4ms | +0.8ms | +0.0% | OK
2026-08-28T18:08:14.189573+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.7ms) | 1.1.1.1 (11.1ms) | 9.9.9.9 (10.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +12.4ms | +0.8ms | +0.0% | OK
2026-08-28T18:08:17.248936+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.5ms) | 1.1.1.1 (7.5ms) | 9.9.9.9 (11.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +12.4ms | +0.8ms | +0.0% | OK
2026-08-28T18:08:20.306956+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.6ms) | 1.1.1.1 (8.6ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +12.4ms | +0.8ms | +0.0% | OK
