2026-08-28T21:33:20.193987+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.4ms) | 1.1.1.1 (58.7ms) | 9.9.9.9 (58.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:22.290780+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (62.6ms) | 1.1.1.1 (62.7ms) | 9.9.9.9 (62.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:24.387900+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (62.9ms) | 1.1.1.1 (63.0ms) | 9.9.9.9 (62.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.9ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:26.493371+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (65.5ms) | 1.1.1.1 (72.1ms) | 9.9.9.9 (69.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:28.583723+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (53.7ms) | 1.1.1.1 (53.4ms) | 9.9.9.9 (54.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:30.680207+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.4ms) | 1.1.1.1 (61.8ms) | 9.9.9.9 (61.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:32.777444+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.7ms) | 1.1.1.1 (58.7ms) | 9.9.9.9 (56.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:34.874146+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (33.2ms) | 1.1.1.1 (34.2ms) | 9.9.9.9 (34.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:36.972108+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.0ms) | 1.1.1.1 (57.4ms) | 9.9.9.9 (57.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:39.068298+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.0ms) | 1.1.1.1 (59.1ms) | 9.9.9.9 (58.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:41.166734+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.0ms) | 1.1.1.1 (56.9ms) | 9.9.9.9 (57.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.8ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:43.261580+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.7ms) | 1.1.1.1 (58.4ms) | 9.9.9.9 (58.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.8ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:45.369694+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.0ms) | 1.1.1.1 (60.7ms) | 9.9.9.9 (67.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:47.457780+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (51.4ms) | 1.1.1.1 (53.6ms) | 9.9.9.9 (53.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
